Food,Type,Nutrition,Quantity,Originated_From,Calories,Protein,Fiber,Vitamin,Antioxidant
Kale,Vegetables,"High in Vitamins A, C, K","1 cup, chopped",Ancient Greece,49,4.3,3.6,93.4,1770
Blueberries,Fruits,High in Antioxidants,1 cup,North America,84,1.1,3.6,14.4,9621
Salmon,Fish,Rich in Omega-3 Fatty Acids,3 oz,North Pacific Ocean,208,22.1,0,0,689
Garlic,Spices,Contains Allicin,1 clove,Central Asia,4,0.2,0.1,0.9,5708
Spinach,Vegetables,High in Iron and Folate,"1 cup, raw",Ancient Persia,23,2.9,2.2,28.1,1515
Almonds,Nuts,Good Source of Vitamin E,1 oz (23 nuts),Middle East,164,6,3.5,0,4454
Broccoli,Vegetables,High in Vitamin C and K,"1 cup, chopped",Italy,31,2.5,2.4,81.2,1510
Avocado,Fruits,Rich in Healthy Fats,1 medium,Central America,320,4,13.5,10,1922
Quinoa,Wheat,Complete Protein Source,"1 cup, cooked",South America,222,8.1,5.2,0,1808
Lentils,Wheat,High in Protein and Fiber,"1 cup, cooked",Middle East,230,17.9,15.6,2.1,7282
Sweet Potato,Vegetables,Rich in Beta-Carotene,1 medium,Central/South America,103,2.3,3.8,22.3,14187
Green Tea,Vegetables,High in Catechins,"1 cup, brewed",China,2,0.5,0,0,1253
Turmeric,Spices,Contains Curcumin,"1 tsp, ground",India,9,0.3,0.7,0.5,127068
Eggs,Eggs,Complete Protein Source,1 large,Worldwide,72,6.3,0,0,705
Chia Seeds,Seeds,High in Omega-3 and Fiber,1 oz,Central America,138,4.7,10.6,0.1,8983
Greek Yogurt,Processed,High in Protein and Probiotics,6 oz,Greece,100,17.3,0,0,1050
Pomegranate,Fruits,Rich in Antioxidants,1 medium,Middle East,234,4.7,11.3,28.8,10500
Walnuts,Seeds,Good Source of Omega-3,1 oz (14 halves),Ancient Persia,185,4.3,1.9,0.4,13541
Ginger,Spices,Anti-inflammatory Properties,"1 tbsp, grated",Southeast Asia,4,0.1,0.2,0.7,14840
Olive Oil,Vegetables,Rich in Monounsaturated Fats,1 tbsp,Mediterranean Region,119,0,0,0,1150
Beets,Vegetables,High in Nitrates,"1 cup, raw",Mediterranean Region,58,2.2,3.8,6.7,1776
Sardines,Fish,Rich in Omega-3 and Vitamin D,"3.75 oz, canned",Mediterranean Sea,191,22.7,0,0,1328
Mushrooms,Vegetables,Good Source of Selenium,"1 cup, raw",Worldwide,15,2.2,1,2.8,692
Tomatoes,Vegetables,High in Lycopene,1 medium,South America,22,1.1,1.5,15.6,1595
Oats,Wheat,Rich in Beta-Glucan,"1 cup, cooked",Europe,166,5.9,4,0,1606
Flaxseeds,Seeds,High in Lignans,"1 tbsp, ground",Middle East,37,1.3,1.9,0.1,8983
Brussels Sprouts,Vegetables,High in Vitamin K,"1 cup, cooked",Ancient Rome,56,4,4.1,96.7,980
Pumpkin Seeds,Vegetables,Rich in Magnesium,1 oz,North America,151,7,1.7,0.5,2500
Black Beans,Vegetables,High in Fiber and Protein,"1 cup, cooked",South America,227,15.2,15,0,8494
Green Peas,Vegetables,Good Source of Vitamin K,"1 cup, cooked",Mediterranean Region,134,8.6,8.8,13.7,1754
Asparagus,Vegetables,High in Folate,"1 cup, cooked",Eastern Mediterranean,27,2.9,2.8,12.3,2021
Blackberries,Fruits,Rich in Antioxidants,1 cup,Worldwide,62,2,7.6,30.2,5905
Wild Rice,Wheat,High in Protein and Fiber,"1 cup, cooked",North America,166,6.5,3,0,1506
Seaweed,Vegetables,Rich in Iodine,"1 sheet, nori",Japan,1,0.1,0.3,0.7,3300
Cauliflower,Vegetables,"Low in Calories, High in Nutrients","1 cup, raw",Cyprus,25,2,2.5,48.2,1058
Coconut Oil,Fruits,Contains Medium-Chain Triglycerides,1 tbsp,Southeast Asia,121,0,0,0,0
Red Bell Peppers,Spices,High in Vitamin C,"1 cup, chopped",Central/South America,46,1.5,3.1,190,1558
Watercress,Vegetables,High in Vitamin K,"1 cup, chopped",Europe,4,0.8,0.2,14.6,1785
Artichokes,Vegetables,High in Fiber,1 medium,Mediterranean Region,60,4.2,6.9,8.9,9416
Cherries,Fruits,Contains Melatonin,"1 cup, with pits",Asia Minor,97,1.6,3.2,10.8,3747
Mango,Fruits,High in Vitamin A,"1 cup, sliced",South Asia,99,1.4,2.6,60.1,1300
Pistachios,Seeds,Good Source of Vitamin B6,1 oz (49 kernels),Central Asia,159,5.7,3,0.7,7675
Kiwi,Fruits,High in Vitamin C,1 medium,China,42,0.8,2.1,64,1210
Oranges,Fruits,Rich in Vitamin C,1 medium,Southeast Asia,62,1.2,3.1,69.7,1819
Chickpeas,Fruits,High in Protein and Fiber,"1 cup, cooked",Middle East,269,14.5,12.5,2.1,1283
Papaya,Fruits,Contains Papain Enzyme,"1 cup, cubed",Central America,62,0.9,2.5,168,1532
Cabbage,Vegetables,"Low in Calories, High in Vitamin K","1 cup, chopped",Europe,22,1.1,2.2,36.6,508
Brazil Nuts,Seeds,High in Selenium,1 oz (6-8 nuts),South America,186,4.1,2.1,0.2,1419
Cantaloupe,Fruits,High in Vitamin A,"1 cup, cubed",Middle East/Africa,54,1.3,1.4,59.4,270
Edamame,Seeds,Good Source of Plant-Based Protein,"1 cup, shelled",East Asia,188,18.4,8,6.1,1510
Apples,Fruits,Rich in Quercetin,1 medium,Central Asia,95,0.5,4.4,8.4,3049
Brown Rice,Wheat,Good Source of Manganese,"1 cup, cooked",Asia,216,5,3.5,0,1523
Figs,Fruits,High in Calcium,1 medium,Western Asia,37,0.4,1.4,1.2,521
Turnips,Vegetables,"Low in Calories, High in Vitamin C","1 cup, cubed",Europe/West Asia,36,1.1,2.3,27.3,575
Hemp Seeds,Seeds,Good Balance of Omega-3 and Omega-6,3 tbsp,Central Asia,166,9.5,1.2,0.1,6000
Butternut Squash,Vegetables,High in Vitamin A,"1 cup, cubed",North America,63,1.4,2.8,31,1144
Red Grapes,Fruits,Contains Resveratrol,1 cup,Mediterranean Region,104,1.1,1.4,3.2,1789
Pineapple,Fruits,Contains Bromelain,"1 cup, chunks",South America,82,0.9,2.3,78.9,385
Collard Greens,Vegetables,High in Vitamin K,"1 cup, chopped",Ancient Greece,11,1.1,1.4,12.7,1067
Sunflower Seeds,Seeds,High in Vitamin E,1 oz,North America,164,5.8,2.4,0.7,6372
Raspberries,Fruits,High in Ellagic Acid,1 cup,Northern Europe/Asia,64,1.5,8,32.2,4882
Clams,Fish,High in Vitamin B12,3 oz,Worldwide,126,22,0,22.1,7980
Grapefruit,Fruits,"Low in Calories, High in Vitamin C",1/2 medium,Caribbean,52,0.9,2,88.1,1548
Kidney Beans,Seeds,High in Molybdenum,"1 cup, cooked",Central America,225,15.3,11.3,4.1,8606
Lemons,Fruits,High in Vitamin C,1 medium,Southeast Asia,17,0.6,1.6,30.7,1225
Arugula,Vegetables,Good Source of Nitrates,2 cups,Mediterranean Region,10,1.2,0.8,5.4,1904
Onions,Spices,Contains Quercetin,"1 cup, chopped",Central Asia,64,1.8,2.9,11.8,913
Zucchini,Processed,"Low in Calories, High in Vitamin C","1 cup, sliced",Central America,19,1.4,1.1,22.2,180
Mackerel,Fish,Rich in Omega-3 Fatty Acids,"3 oz, cooked",Worldwide,231,20.8,0,0,393
Acai Berries,Fruits,High in Anthocyanins,"100g, pulp",South America,70,1,2,0,15405
Cucumber,Vegetables,"Low in Calories, High in Water Content","1 cup, sliced",India,16,0.7,0.5,2.9,140
Peanuts,Seeds,Good Source of Biotin,1 oz,South America,161,7.3,2.4,0,1393
Eggplant,Vegetables,"Low in Calories, High in Fiber","1 cup, cubed",India,20,0.8,2.5,1.8,980
Parsley,Vegetables,High in Vitamin K,"1/4 cup, chopped",Mediterranean Region,4,0.3,0.4,13.3,1301
Cayenne Pepper,Spices,Contains Capsaicin,"1 tsp, ground",South America,6,0.3,0.6,1.6,50314
Watermelon,Fruits,High in Lycopene,"1 cup, diced",Africa,46,0.9,0.6,12.3,182
Radishes,Vegetables,"Low in Calories, High in Vitamin C","1 cup, sliced",Southeast Asia,19,0.8,1.9,17.2,387
Bok Choy,Vegetables,High in Vitamin A and C,"1 cup, shredded",China,9,1.1,1,45.2,1511
Tuna,Fish,High in Protein and Omega-3,"3 oz, canned in water",Worldwide,99,22,0,0,415
Crimini Mushrooms,Vegetables,Good Source of Selenium,"1 cup, sliced",Europe/North America,19,2.9,0.7,2.1,885
Cranberries,Fruits,High in Proanthocyanidins,"1 cup, whole",North America,46,0.4,3.6,13.3,9584
Tahini,Processed,Good Source of Calcium,1 tbsp,Middle East,89,2.6,1.4,0,276
Cinnamon,Spices,May Help Lower Blood Sugar,"1 tsp, ground",Sri Lanka,6,0.1,1.4,0.1,131420
Miso,Processed,Rich in Probiotics,1 tbsp,Japan,34,2.2,0.8,0.1,1125
Mustard Greens,Processed,High in Vitamin K,"1 cup, chopped",India,15,1.6,1.8,39.3,3024
Celery,Vegetables,"Low in Calories, High in Vitamin K","1 cup, chopped",Mediterranean Region,16,0.7,1.6,3.1,670
Endive,Vegetables,"Low in Calories, High in Vitamin K","1 cup, chopped",Mediterranean Region,8,0.5,1.6,2.1,1052
Kohlrabi,Vegetables,Good Source of Vitamin C,"1 cup, sliced",Northern Europe,36,2.3,4.9,83.7,944
Natto,Processed,High in Vitamin K2,1/4 cup,Japan,100,8.4,2.8,13,6680
Sauerkraut,Processed,Rich in Probiotics,1/2 cup,China,13,0.7,2.9,14.7,705
Tempeh,Processed,High in Protein and Probiotics,3 oz,Indonesia,162,17,3.5,0,1800
Swiss Chard,Vegetables,High in Vitamins A and K,"1 cup, chopped",Mediterranean Region,7,0.6,0.6,10.8,1770
Nutritional Yeast,Processed,Good Source of B Vitamins,1 tbsp,Worldwide,20,3,1,0,790
Pomelo,Fruits,High in Vitamin C,"1 cup, sections",Southeast Asia,72,1.4,2.4,115.3,1548
Radicchio,Vegetables,"Low in Calories, High in Vitamin K","1 cup, shredded",Italy,9,0.6,0.4,2.6,1016
Jicama,Vegetables,Good Source of Vitamin C,"1 cup, sliced",Mexico,46,0.9,6.4,20.2,406
Wakame Seaweed,Vegetables,High in Fucoxanthin,"1 cup, raw",Japan,5,0.3,0.4,3,2115
Dragon Fruit,Fruits,Good Source of Antioxidants,"1 cup, cubed",Central/South America,136,2.9,7,9,2551
